Product_ID,Product_Name,List_Price,Quantity,Discount,Order_ID,Shipped_Date,Total_Revenue
205,Trek Super Commuter+ 8S - 2018,4999.99,2,0.05,1333,2018-01-07,27799.9444
203,Trek Powerfly 7 FS - 2018,4999.99,2,0.05,1334,2018-01-10,26999.946
155,Trek Domane SLR 9 Disc - 2018,11999.99,2,0.1,1364,2018-01-28,21599.982
43,Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,2,0.07,1347,2018-01-18,19556.9631
153,Trek Domane SL 7 Women's - 2018,4999.99,1,0.1,1337,2018-01-12,18749.9625
58,Trek Madone 9.2 - 2017,4999.99,2,0.1,1348,2018-01-17,18299.9634
142,Trek Fuel EX 8 29 XT - 2018,3199.99,2,0.07,1378,2018-02-04,17663.9448
160,Trek Emonda SLR 6 - 2018,4499.99,2,0.07,1334,2018-01-10,16604.9631
28,Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,2,0.05,1322,2018-01-02,16449.9342
7,Trek Slash 8 27.5 - 2016,3999.99,1,0.07,1370,2018-01-29,14959.9626
194,Trek XM700+ - 2018,3499.99,1,0.2,1416,2018-03-06,14699.958
61,Trek Powerfly 8 FS Plus - 2017,4999.99,1,0.07,1344,2018-01-15,13949.9721
252,Electra Townie Commute Go! Ladies' - 2018,2999.99,1,0.2,1431,2018-03-14,13799.954
149,Trek Domane SLR 8 Disc - 2018,7499.99,1,0.2,1355,2018-01-20,13124.9825
51,Trek Silque SLR 8 Women's - 2017,6499.99,2,0.05,1463,2018-03-24,12349.981
171,Trek Domane SL 6 - 2018,3199.99,2,0.05,1389,2018-02-14,12159.962
188,Trek XM700+ Lowstep - 2018,3499.99,2,0.07,1377,2018-02-03,12109.9654
169,Trek Emonda SLR 8 - 2018,6499.99,2,0.07,1338,2018-01-13,12089.9814
140,Trek Remedy 9.8 27.5 - 2018,4999.99,2,0.2,1424,2018-03-10,11999.976
50,Trek Silque SLR 7 Women's - 2017,5999.99,2,0.07,1468,2018-03-29,11159.9814
145,Trek Domane ALR 5 Disc - 2018,1799.99,2,0.1,1331,2018-01-08,11141.9381
162,Trek Emonda SL 6 Disc - 2018,2999.99,2,0.1,1405,2018-02-27,10799.964
190,Trek Dual Sport+ - 2018,2799.99,2,0.07,1326,2018-01-02,10415.9628
47,Trek Remedy 9.8 - 2017,5299.99,2,0.05,1393,2018-02-15,10069.981
193,Trek Lift+ - 2018,2799.99,2,0.2,1404,2018-02-24,9799.965
