State,Total_Revenue,Average_Discount,Number_of_Customers,Order_Date
CA,10231.05,0.11,1,2016-01-01
NY,1697.97,0.06,1,2016-01-01
NY,1519.98,0.05,1,2016-01-02
CA,1349.98,0.1,1,2016-01-03
NY,3900.06,0.06,1,2016-01-03
NY,12980.06,0.07,3,2016-01-04
CA,7199.98,0.1,1,2016-01-05
NY,3398.95,0.11,2,2016-01-05
CA,6816.92,0.08,1,2016-01-06
NY,3278.05,0.08,1,2016-01-08
CA,437.09,0.07,1,2016-01-09
NY,4030.06,0.1,1,2016-01-09
CA,6542.61,0.11,2,2016-01-12
CA,23318.11,0.1,3,2016-01-14
NY,2083.16,0.07,1,2016-01-15
CA,7370.43,0.12,2,2016-01-16
NY,11610.64,0.14,3,2016-01-18
NY,12793.36,0.12,2,2016-01-19
NY,15042.96,0.1,2,2016-01-20
TX,7993.86,0.13,1,2016-01-20
CA,5270.94,0.08,1,2016-01-21
NY,4157.97,0.09,1,2016-01-21
NY,10199.18,0.1,2,2016-01-22
NY,5644.92,0.11,1,2016-01-23
NY,16487.58,0.11,3,2016-01-25
CA,3223.18,0.2,1,2016-01-27
NY,4824.79,0.12,3,2016-01-27
NY,9574.04,0.09,2,2016-01-28
NY,2455.55,0.1,2,2016-01-29
NY,6712.85,0.12,1,2016-01-30
NY,502.18,0.07,1,2016-01-31
TX,2497.96,0.11,1,2016-01-31
NY,1786.47,0.1,1,2016-02-01
CA,464.99,0.07,1,2016-02-03
NY,4781.93,0.14,1,2016-02-03
NY,6289.89,0.14,4,2016-02-04
NY,2904.22,0.08,2,2016-02-05
CA,3831.85,0.11,1,2016-02-06
NY,3570.56,0.12,1,2016-02-06
CA,3977.05,0.09,1,2016-02-07
NY,5455.01,0.12,2,2016-02-07
NY,494.99,0.1,1,2016-02-08
NY,1390.47,0.11,1,2016-02-09
TX,4422.94,0.16,1,2016-02-09
NY,3902.61,0.1,2,2016-02-10
NY,1984.07,0.12,1,2016-02-11
TX,2829.17,0.1,1,2016-02-11
CA,1806.41,0.07,1,2016-02-12
NY,4196.03,0.09,1,2016-02-12
NY,1577.07,0.06,1,2016-02-13
NY,8763.96,0.12,1,2016-02-14
CA,2427.96,0.14,1,2016-02-16
NY,6829.15,0.1,2,2016-02-16
CA,7568.05,0.08,1,2016-02-17
NY,5376.54,0.12,2,2016-02-17
NY,3589.57,0.15,1,2016-02-18
CA,2379.97,0.13,1,2016-02-19
NY,7471.31,0.07,2,2016-02-20
