month,Total_Sales
2016-01,215146.4241
2016-02,156112.3228
2016-03,180600.3285
2016-04,167144.0512
2016-05,205270.0091
2016-06,210562.1245
2016-07,199556.8089
2016-08,225657.3767
2016-09,273091.6097
2016-10,212078.0805
2016-11,182329.4124
2016-12,199829.9792
2017-01,285616.484
2017-02,312923.747
2017-03,308911.9018
2017-04,227290.9131
2017-05,268233.2379
2017-06,378865.6535
2017-07,229995.3979
2017-08,290553.4554
2017-09,293405.2561
2017-10,310328.309
2017-11,281577.9019
2017-12,259505.9849
2018-01,381430.0993
2018-02,200658.0615
2018-03,363990.9935
2018-04,817921.8604
2018-06,188.991
2018-07,11337.9002
2018-08,8377.8147
2018-09,8963.9647
2018-10,3781.1284
2018-11,11362.0071
2018-12,6516.9667
