Category_ID,Category_Name,Total_Units_Sold,Num_Orders,Month_Num,Month_Name
3,Cruisers Bicycles,137,63,04,April
6,Mountain Bikes,107,56,04,April
1,Children Bicycles,105,59,04,April
7,Road Bikes,91,52,04,April
3,Cruisers Bicycles,85,40,03,March
2,Comfort Bicycles,66,37,04,April
1,Children Bicycles,56,31,03,March
7,Road Bikes,56,26,01,January
5,Electric Bikes,54,31,04,April
3,Cruisers Bicycles,53,25,01,January
6,Mountain Bikes,52,29,03,March
7,Road Bikes,47,25,03,March
6,Mountain Bikes,46,22,01,January
6,Mountain Bikes,41,17,02,February
1,Children Bicycles,39,20,01,January
3,Cruisers Bicycles,37,19,02,February
1,Children Bicycles,29,15,02,February
2,Comfort Bicycles,25,17,03,March
7,Road Bikes,24,12,02,February
2,Comfort Bicycles,21,13,01,January
4,Cyclocross Bicycles,20,12,04,April
5,Electric Bikes,20,13,01,January
5,Electric Bikes,20,11,03,March
5,Electric Bikes,14,6,02,February
2,Comfort Bicycles,13,9,02,February
1,Children Bicycles,6,1,10,October
4,Cyclocross Bicycles,6,5,01,January
4,Cyclocross Bicycles,5,3,03,March
3,Cruisers Bicycles,4,3,07,July
3,Cruisers Bicycles,4,1,08,August
6,Mountain Bikes,4,2,07,July
7,Road Bikes,3,2,11,November
1,Children Bicycles,2,1,11,November
3,Cruisers Bicycles,2,1,11,November
4,Cyclocross Bicycles,2,1,02,February
5,Electric Bikes,2,1,12,December
7,Road Bikes,2,1,08,August
7,Road Bikes,2,1,09,September
1,Children Bicycles,1,1,06,June
1,Children Bicycles,1,1,07,July
1,Children Bicycles,1,1,08,August
2,Comfort Bicycles,1,1,07,July
2,Comfort Bicycles,1,1,08,August
3,Cruisers Bicycles,1,1,09,September
3,Cruisers Bicycles,1,1,10,October
3,Cruisers Bicycles,1,1,12,December
5,Electric Bikes,1,1,07,July
5,Electric Bikes,1,1,09,September
5,Electric Bikes,1,1,10,October
6,Mountain Bikes,1,1,08,August
6,Mountain Bikes,1,1,11,November
7,Road Bikes,1,1,12,December
