order_ID,Product_ID,Product_Name,Value,rankings
1364,155,Trek Domane SLR 9 Disc - 2018,21599.98,1
1541,155,Trek Domane SLR 9 Disc - 2018,21599.98,2
1506,149,Trek Domane SLR 8 Disc - 2018,14249.98,3
1003,51,Trek Silque SLR 8 Women's - 2017,12349.98,4
1297,51,Trek Silque SLR 8 Women's - 2017,12349.98,5
1463,51,Trek Silque SLR 8 Women's - 2017,12349.98,6
672,51,Trek Silque SLR 8 Women's - 2017,12089.98,7
787,51,Trek Silque SLR 8 Women's - 2017,12089.98,8
904,51,Trek Silque SLR 8 Women's - 2017,12089.98,9
937,51,Trek Silque SLR 8 Women's - 2017,12089.98,10
1338,169,Trek Emonda SLR 8 - 2018,12089.98,11
1593,169,Trek Emonda SLR 8 - 2018,12089.98,12
930,51,Trek Silque SLR 8 Women's - 2017,11699.98,13
987,51,Trek Silque SLR 8 Women's - 2017,11699.98,14
1117,51,Trek Silque SLR 8 Women's - 2017,11699.98,15
804,50,Trek Silque SLR 7 Women's - 2017,11399.98,16
887,50,Trek Silque SLR 7 Women's - 2017,11399.98,17
945,50,Trek Silque SLR 7 Women's - 2017,11399.98,18
1095,50,Trek Silque SLR 7 Women's - 2017,11399.98,19
1570,155,Trek Domane SLR 9 Disc - 2018,11159.99,20
892,50,Trek Silque SLR 7 Women's - 2017,11159.98,21
1115,50,Trek Silque SLR 7 Women's - 2017,11159.98,22
1271,50,Trek Silque SLR 7 Women's - 2017,11159.98,23
1468,50,Trek Silque SLR 7 Women's - 2017,11159.98,24
1529,50,Trek Silque SLR 7 Women's - 2017,10799.98,25
685,56,Trek Domane SLR 6 Disc - 2017,10449.98,26
717,56,Trek Domane SLR 6 Disc - 2017,10449.98,27
736,56,Trek Domane SLR 6 Disc - 2017,10449.98,28
741,56,Trek Domane SLR 6 Disc - 2017,10449.98,29
1540,177,Trek Domane SLR 6 Disc - 2018,10449.98,30
823,56,Trek Domane SLR 6 Disc - 2017,10229.98,31
930,56,Trek Domane SLR 6 Disc - 2017,10229.98,32
946,56,Trek Domane SLR 6 Disc - 2017,10229.98,33
1006,56,Trek Domane SLR 6 Disc - 2017,10229.98,34
1234,56,Trek Domane SLR 6 Disc - 2017,10229.98,35
1302,56,Trek Domane SLR 6 Disc - 2017,10229.98,36
660,47,Trek Remedy 9.8 - 2017,10069.98,37
755,43,Trek Fuel EX 9.8 27.5 Plus - 2017,10069.98,38
973,47,Trek Remedy 9.8 - 2017,10069.98,39
1170,47,Trek Remedy 9.8 - 2017,10069.98,40
1393,47,Trek Remedy 9.8 - 2017,10069.98,41
1505,43,Trek Fuel EX 9.8 27.5 Plus - 2017,10069.98,42
692,56,Trek Domane SLR 6 Disc - 2017,9899.98,43
645,47,Trek Remedy 9.8 - 2017,9857.98,44
1055,43,Trek Fuel EX 9.8 27.5 Plus - 2017,9857.98,45
1262,43,Trek Fuel EX 9.8 27.5 Plus - 2017,9857.98,46
1347,43,Trek Fuel EX 9.8 27.5 Plus - 2017,9857.98,47
1282,50,Trek Silque SLR 7 Women's - 2017,9599.98,48
951,43,Trek Fuel EX 9.8 27.5 Plus - 2017,9539.98,49
1023,43,Trek Fuel EX 9.8 27.5 Plus - 2017,9539.98,50
1220,47,Trek Remedy 9.8 - 2017,9539.98,51
698,40,Trek Fuel EX 9.8 29 - 2017,9499.98,52
839,58,Trek Madone 9.2 - 2017,9499.98,53
847,61,Trek Powerfly 8 FS Plus - 2017,9499.98,54
900,61,Trek Powerfly 8 FS Plus - 2017,9499.98,55
968,61,Trek Powerfly 8 FS Plus - 2017,9499.98,56
982,40,Trek Fuel EX 9.8 29 - 2017,9499.98,57
1020,40,Trek Fuel EX 9.8 29 - 2017,9499.98,58
1129,61,Trek Powerfly 8 FS Plus - 2017,9499.98,59
1283,61,Trek Powerfly 8 FS Plus - 2017,9499.98,60
1291,58,Trek Madone 9.2 - 2017,9499.98,61
1300,58,Trek Madone 9.2 - 2017,9499.98,62
1333,205,Trek Super Commuter+ 8S - 2018,9499.98,63
1334,203,Trek Powerfly 7 FS - 2018,9499.98,64
1377,153,Trek Domane SL 7 Women's - 2018,9499.98,65
1482,205,Trek Super Commuter+ 8S - 2018,9499.98,66
1513,61,Trek Powerfly 8 FS Plus - 2017,9499.98,67
1514,203,Trek Powerfly 7 FS - 2018,9499.98,68
1566,61,Trek Powerfly 8 FS Plus - 2017,9499.98,69
659,61,Trek Powerfly 8 FS Plus - 2017,9299.98,70
718,40,Trek Fuel EX 9.8 29 - 2017,9299.98,71
799,58,Trek Madone 9.2 - 2017,9299.98,72
860,58,Trek Madone 9.2 - 2017,9299.98,73
937,58,Trek Madone 9.2 - 2017,9299.98,74
1041,61,Trek Powerfly 8 FS Plus - 2017,9299.98,75
1140,40,Trek Fuel EX 9.8 29 - 2017,9299.98,76
1175,58,Trek Madone 9.2 - 2017,9299.98,77
1349,205,Trek Super Commuter+ 8S - 2018,9299.98,78
1434,61,Trek Powerfly 8 FS Plus - 2017,9299.98,79
1482,58,Trek Madone 9.2 - 2017,9299.98,80
1592,40,Trek Fuel EX 9.8 29 - 2017,9299.98,81
639,61,Trek Powerfly 8 FS Plus - 2017,8999.98,82
715,61,Trek Powerfly 8 FS Plus - 2017,8999.98,83
774,58,Trek Madone 9.2 - 2017,8999.98,84
1060,61,Trek Powerfly 8 FS Plus - 2017,8999.98,85
1123,61,Trek Powerfly 8 FS Plus - 2017,8999.98,86
1169,58,Trek Madone 9.2 - 2017,8999.98,87
1189,40,Trek Fuel EX 9.8 29 - 2017,8999.98,88
1191,40,Trek Fuel EX 9.8 29 - 2017,8999.98,89
1229,61,Trek Powerfly 8 FS Plus - 2017,8999.98,90
1233,61,Trek Powerfly 8 FS Plus - 2017,8999.98,91
1251,40,Trek Fuel EX 9.8 29 - 2017,8999.98,92
1348,58,Trek Madone 9.2 - 2017,8999.98,93
1410,205,Trek Super Commuter+ 8S - 2018,8999.98,94
934,56,Trek Domane SLR 6 Disc - 2017,8799.98,95
1105,56,Trek Domane SLR 6 Disc - 2017,8799.98,96
